تصدير بيانات العقود
تاريخ التصدير: 29-Jul-2025
عدد السجلات: 86

معرف العقد,معرف الشركة,تاريخ بداية العقد,تاريخ انتهاء العقد,معرفات الفروع,أسماء الفروع
"0012-001","0012","27-Oct-2024","26-Oct-2025","0012-JED-001-0001","المنتزهات"
"0021-001","0021","19-Sep-2024","18-Sep-2025","0021-JED-001-0003,0021-JED-001-0005,0021-JED-001-0001,0021-JED-001-0002,0021-JED-001-0004","Etoile la boutique,Valentino,Aquazzura,Christian Dior Couture,TODS"
"0058-001","0058","01-Jan-2025","31-Dec-2025","0058-JED-001-0001","حي الفيصلية"
"0044-001","0044","01-Oct-2024","30-Sep-2029","0044-JED-001-0001","طريق الملك عبدالعزيز"
"0017-001","0017","30-Oct-2024","29-Oct-2025","0017-JED-001-0001","التحلية"
"0033-007","0033","14-Nov-2024","13-Nov-2025","0033-JED-007-0007","الفيحاء - نساء"
"0003-001","0003","19-Sep-2024","18-Sep-2025","0003-JED-006-0010,0003-JED-005-0007,0003-JED-003-0005,0003-JED-001-0001,0003-JED-007-0011,0003-JED-002-0003,0003-JED-004-0006,0003-JED-005-0008,0003-YAN-001-0002,0003-TAF-001-0004,0003-TBK-001-0009","Swarovski,Swarovski,Swarovski,Swarovski,Swarovski,Swarovski,Tanagra,Tumi,Swarovski,Swarovski,Swarovski"
"0015-002","0015","01-Feb-2025","31-Jan-2026","0015-JED-001-0002","الورشة المركزية"
"0010-001","0010","29-Sep-2024","28-Sep-2025","0010-JED-001-0001","الخمرة"
"0032-001","0032","26-Mar-2024","25-Mar-2025","0032-JED-001-0001","الشرفية"
"0062-001","0062","02-Dec-2024","01-Dec-2025","0062-JED-001-0001","الصناعية 3"
"0002-001","0002","16-Nov-2024","15-Nov-2025","0002-JED-001-0001","حارة الشام"
"0015-003","0015","01-Feb-2025","31-Jan-2026","0015-JED-002-0003","اوتو مول"
"0033-012","0033","14-Nov-2024","13-Nov-2025","0033-JED-012-0012","السامر- نساء"
"0053-001","0053","17-Apr-2025","16-Apr-2027","0053-JED-001-0001","شارع التحلية"
"0025-001","0025","04-Jun-2024","03-Jun-2025","0025-JED-001-0001","لصناعية الثالثة"
"0007-001","0007","26-May-2024","25-May-2025","0007-JED-001-0001","كيلو14"
"0018-001","0018","24-Dec-2024","23-Dec-2025","0018-JED-001-0001","الريان"
"0033-009","0033","14-Nov-2024","13-Nov-2025","0033-JED-009-0009","المحمدية - نساء"
"0035-001","0035","19-Sep-2024","18-Sep-2025","0035-JED-001-0001","Chanel"
"0033-011","0033","14-Nov-2024","13-Nov-2025","0033-JED-011-0011","الصفا - نساء"
"0043-001","0043","10-Nov-2024","09-Nov-2025","0043-JED-001-0001","مبنى ريل"
"0015-004","0015","01-Feb-2025","31-Jan-2026","0015-JAZ-001-0004","ورشة جازان"
"0011-001","0011","20-Mar-2025","19-Mar-2026","0011-JED-001-0001","كلية الأمير محمد"
"0056-001","0056","28-Oct-2024","27-Oct-2025","0056-JED-001-0001","الصناعية 1"
"0051-001","0051","29-Dec-2024","28-Dec-2025","0051-JED-001-0001","الفيصلية"
"0023-001","0023","08-Jan-2025","07-Jan-2026","0023-RAB-001-0001","مدينة الملك عبدالله"
"0004-001","0004","29-Dec-2024","28-Dec-2025","0004-JED-001-0001","هيفاء مول"
"0033-015","0033","14-Nov-2024","13-Nov-2025","0033-JED-015-0015","الإدارة"
"0005-001","0005","01-Sep-2024","31-Aug-2025","0005-JED-001-0001","الفيحاء"
"0034-001","0034","19-Sep-2024","18-Sep-2025","0034-JED-001-0001","Fendi"
"0041-001","0041","18-Dec-2024","17-Dec-2025","0041-JED-001-0001","الصناعية 2"
"0069-001","0069","16-Nov-2024","15-Nov-2025","0069-JED-001-0001","مستودعات الخمرة"
"0060-001","0060","15-Jan-2024","14-Jan-2025","0060-JED-001-0001","الشاطئ"
"0036-001","0036","16-Oct-2024","15-Oct-2025","0036-JED-001-0001","الياسمين مول"
"0022-001","0022","30-Jun-2024","29-Jun-2025","0022-JED-001-0001","محطة ناقلين"
"0030-001","0030","08-Aug-2024","07-Aug-2025","0030-JED-001-0001","السلامة"
"0064-001","0064","17-Oct-2024","16-Oct-2025","0064-JED-001-0001","البساتين مول"
"0026-001","0026","19-Sep-2024","18-Sep-2025","0026-JED-002-0004,0026-JED-001-0003,0026-JED-001-0002,0026-JED-002-0005,0026-JED-002-0006,0026-JED-003-0007,0026-TAF-001-0001","BENEFIT,MUFE,BENEFIT,GIVENCHY,MUFE,MUFE,MUFE"
"0042-001","0042","05-Jan-2025","04-Jan-2026","0042-RAB-001-0001","مدينة الملك عبدالله"
"0037-001","0037","19-Sep-2024","18-Sep-2025","0037-JED-004-0008,0037-JED-001-0001,0037-JED-002-0003,0037-JED-003-0005,0037-JED-005-0009,0037-TBK-001-0006,0037-TAF-002-0007,0037-ABH-001-0004,0037-TAF-001-0002","L'Occitane,L'Occitane,L'Occitane,L'Occitane,L'Occitane,L'Occitane,L'Occitane,L'Occitane,L'Occitane"
"0033-014","0033","14-Nov-2024","13-Nov-2025","0033-JED-014-0014","ابحر الشمالية -رجال"
"0033-013","0033","14-Nov-2024","13-Nov-2025","0033-JED-013-0013","ابحر الشمالية -نساء"
"0068-001","0068","26-Mar-2024","25-Mar-2025","0068-JED-001-0001","مركز الورود التجاري"
"0033-006","0033","14-Nov-2024","12-Nov-2025","0033-JED-006-0006","الأمير فواز - نساء"
"0009-001","0009","15-Sep-2024","14-Sep-2025","0009-JED-001-0001","الفيصلية"
"0033-008","0033","14-Nov-2024","13-Nov-2025","0033-JED-008-0008","الحمدانية - نساء"
"0057-001","0057","21-Mar-2024","20-Mar-2025","0057-JED-001-0001","المرجان"
"0013-001","0013","19-Sep-2024","18-Sep-2025","0013-JED-001-0001,0013-JED-002-0002","YSL,YSL"
"0006-001","0006","01-Feb-2025","31-Dec-2025","0006-JED-001-0001","الاصالة"
"0040-001","0040","30-Jan-2025","29-Jan-2026","0040-JED-001-0001","الشاطئ"
"0049-001","0049","08-Dec-2024","07-Dec-2025","0049-JED-001-0001","الصناعية 3"
"0059-001","0059","05-Feb-2025","04-Feb-2026","0059-JED-001-0001","حي الصفا"
"0048-001","0048","11-Jul-2024","10-Jul-2025","0048-JED-001-0001","باب شريف"
"0065-001","0065","26-Mar-2025","25-Mar-2026","0065-JED-001-0001","الفيحاء"
"0046-001","0046","20-Feb-2025","19-Feb-2026","0046-JED-001-0001","الصناعية 3"
"0033-005","0033","14-Nov-2024","12-Nov-2025","0033-JED-005-0005","الشاطئ - رجال"
