معرف العقد,معرف الشركة,تاريخ بداية العقد,تاريخ انتهاء العقد,اسم الشركة
0012-001,0012,27-Oct-24,26-Oct-25,شركة الاحسن للتجارة
0021-001,0021,19-Sep-24,18-Sep-25,شركة النجيمة التجارية المحدودة (ذات مسؤولية محدودة)
0058-001,0058,1-Jan-25,31-Dec-25,مركز تناغم الحياة
0044-001,0044,1-Oct-24,30-Sep-29,شركة نسما العالمية لتقنيات المياه والطاقة
0017-001,0017,30-Oct-24,29-Oct-25,شركة الخيال اللامحدودة
0033-007,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0003-001,0003,19-Sep-24,18-Sep-25,الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة)
0015-002,0015,1-Feb-25,31-Jan-26,شركة الخريف التجارية
0010-001,0010,29-Sep-24,28-Sep-25,شركة اسنى للتقنيات المتطورة المحدودة
0032-001,0032,26-Mar-24,25-Mar-25,شركة صفوة المفروشات المحدودة
0062-001,0062,2-Dec-24,1-Dec-25,مصنع المرام للمستلزمات الطبية
0002-001,0002,16-Nov-24,15-Nov-25,إدارة اوقاف احمد محمد شمسان
0015-003,0015,1-Feb-25,31-Jan-26,شركة الخريف التجارية
0033-012,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0053-001,0053,17-Apr-25,16-Apr-27,مجمع بن رشد الطبية
0025-001,0025,4-Jun-24,3-Jun-25,شركة بوليمرز
0007-001,0007,26-May-24,25-May-25,روضة الأطفال - براعة الصغار
0018-001,0018,24-Dec-24,23-Dec-25,شركة الفرات لصناعة وإنتاج الواح الرخام
0033-009,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0035-001,0035,19-Sep-24,18-Sep-25,شركة كريستيان ديور كوتور العربية للتجارة
0033-011,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0043-001,0043,10-Nov-24,9-Nov-25,شركة ناسكو العربية لوساطة اعادة التامين
0015-004,0015,1-Feb-25,31-Jan-26,شركة الخريف التجارية
0011-001,0011,20-Mar-25,19-Mar-26,شركة اعمار المعارف
0056-001,0056,28-Oct-24,27-Oct-25,مرزوق البقمي
0051-001,0051,29-Dec-24,28-Dec-25,قرطاسية ومكتبة صخر
0023-001,0023,8-Jan-25,7-Jan-26,شركة بترا السعودية للصناعات الهندسية
0004-001,0004,29-Dec-24,28-Dec-25,ترنكيلا كافي
0033-015,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0005-001,0005,1-Sep-24,31-Aug-25,جامعة دار الحكمة
0034-001,0034,19-Sep-24,18-Sep-25,شركة فندي السعودية للتجارة
0041-001,0041,18-Dec-24,17-Dec-25,شركة مصنع الانهار - نستلة
0069-001,0069,16-Nov-24,15-Nov-25,ورثة احمد محمد شمسان
0060-001,0060,15-Jan-24,14-Jan-25,مشهور الفايز
0036-001,0036,16-Oct-24,15-Oct-25,شركة كنز المستقبل
0022-001,0022,30-Jun-24,29-Jun-25,شركة الهلال الذهبي
0030-001,0030,8-Aug-24,7-Aug-25,شركة سما الدرعية
0064-001,0064,17-Oct-24,16-Oct-25,مون بلاك
0026-001,0026,19-Sep-24,18-Sep-25,شركة بي سي دي  العربية السعودية شركة شخص واحد
0042-001,0042,5-Jan-25,4-Jan-26,شركة منتجات صناعة الاسمنت
0037-001,0037,19-Sep-24,18-Sep-25,شركة لوكسيتان العربية للتجارة - شركة شخص واحد
0033-014,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0033-013,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0068-001,0068,26-Mar-24,25-Mar-25,نقطة المراقبة للخدمات البيئية
0033-006,0033,14-Nov-24,12-Nov-25,شركة عناية العالمية
0009-001,0009,15-Sep-24,14-Sep-25,شركة أبناء عبدالله الخريف
0033-008,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0057-001,0057,21-Mar-24,20-Mar-25,مركز الرعاية المتطورة
0013-001,0013,19-Sep-24,18-Sep-25,شركة الجمال لمستحضرات التجميل العالمية المحدودة (ذات مسؤولية محدودة)
0006-001,0006,1-Feb-25,31-Dec-25,شركة الجوهرة الكبرى للتطوير و الاستثمار العقاري - ذا فيلج مول
0040-001,0040,30-Jan-25,29-Jan-26,شركة محترفو البحر العربية السعودية المحدودة - نادي جدة لليخوت
0049-001,0049,8-Dec-24,7-Dec-25,عالم التدوير للبلاستيك
0059-001,0059,5-Feb-25,4-Feb-26,مركز روائع تالا للتزيين النسائي
0048-001,0048,11-Jul-24,10-Jul-25,شمسان بلازا
0065-001,0065,26-Mar-25,25-Mar-26,مؤسسة الشهباء المتطورة لتشغيل الفنادق
0046-001,0046,20-Feb-25,19-Feb-26,شركة هلا للخدمات المساندة مستودع B
0033-005,0033,14-Nov-24,12-Nov-25,شركة عناية العالمية
0015-001,0015,1-Feb-25,29-Jul-25,شركة الخريف التجارية
0033-001,0033,14-Nov-24,12-Nov-25,شركة عناية العالمية
0019-001,0019,1-Jan-25,31-Dec-25,شركة النافع للأغذية
0027-001,0027,12-Nov-24,11-Nov-25,شركة خدمات الضيافة العربية لتشغيل الفنادق
0024-001,0024,19-Sep-24,18-Sep-25,شركة بوتش العربية المحدودة
0045-001,0045,30-Jan-25,29-Jan-26,شركة هلا للخدمات المساندة
0061-001,0061,14-Sep-24,13-Sep-25,مصنع الكيماويات الصناعية
0014-001,0014,1-Sep-24,31-Aug-25,شركة الحوطي ستانجر المحدودة
0038-001,0038,19-Sep-24,18-Sep-25,شركة لويس فيتون العربية المحدودة
0033-010,0033,14-Nov-24,13-Nov-25,شركة عناية العالمية
0067-001,0067,17-Jul-24,16-Jul-25,مؤسسة سامية الكثيري
0055-001,0055,3-Sep-24,2-Sep-25,مدرسة براعم الوطن
0029-001,0029,19-Sep-24,18-Sep-25,شركة رضوى التجارية (ذات مسؤولية محدودة)
0039-001,0039,19-Sep-24,18-Sep-25,شركة مجموعة شلهوب العربية المحدودة
0066-001,0066,21-Oct-24,20-Oct-25,مؤسسة بشرة منتعشة للتجارة - جيلا
0054-001,0054,29-Dec-24,28-Dec-25,محطة بترولكس
0016-001,0016,20-Feb-24,19-Feb-25,شركة الخليجية المتطورة للسيارات
0033-002,0033,14-Nov-24,12-Nov-25,شركة عناية العالمية
0028-001,0028,26-Aug-24,25-Aug-25,شركة دار الهوات
0063-001,0063,4-Mar-25,3-Mar-26,مصنع وصل الخير للمنتجات المعدنية
0031-001,0031,19-Sep-24,18-Sep-25,شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة)
0002-002,0002,1-Oct-24,30-Sep-25,إدارة اوقاف احمد محمد شمسان
0033-004,0033,14-Nov-24,12-Nov-25,شركة عناية العالمية
0033-003,0033,14-Nov-24,12-Nov-25,شركة عناية العالمية
0052-001,0052,19-Mar-24,18-Mar-25,مبنى دينار التجاري
0001-001,0001,1-Dec-24,31-Dec-25,أبحر بلازا
0050-001,0050,19-Feb-25,18-Feb-26,عيادة الدكتور عمر العامودي
0008-001,0008,29-Oct-24,28-Oct-25,شركة MHP العربية السعودية
0020-001,0020,1-Jan-25,31-Dec-25,شركة النافع للتجارة للتخزين
