معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0045-JED-001-0001,0045-001,0045,regular,completed,24-Feb-25,09:00,24-Feb-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,1-Jan-25,09:00,1-Jan-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,13-Sep-2024,09:00,13-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,2-Jun-2024,09:00,2-Jun-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,3-Mar-2024,09:00,3-Mar-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,28-Apr-2025,09:00,28-Apr-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,3-Jun-25,09:00,3-Jun-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,9-Feb-25,09:00,9-Feb-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,26-Mar-25,09:00,26-Mar-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,26-Jun-2025,09:00,26-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0056-JED-001-0001,0056-001,0056,regular,completed,16-Jan-25,09:00,16-Jan-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
