Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
شركة هلا للخدمات المساندة,,الصناعية -3,جدة,24-Feb-25,1-Jan-25,9/13/2024,6/2/2024,3/3/2024,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,
عالم التدوير للبلاستيك,,الصناعية 3,جدة,3-Jun-25,9-Feb-25,26-Mar-25,6/26/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
مرزوق البقمي ,,الصناعية - 1,جدة,16-Jan-25,3-Mar-24,19-May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة خدمات الضيافة العربية لتشغيل الفنادق,,السلامة,جدة,3/12/2025,4/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة النافع للأغذية,,برج ذا هيدكوارترز بزنس بارك,جدة,24-Feb-25,6/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة النافع للتجارة للتخزين,,برج ذا هيدكوارترز بزنس بارك,جدة,24-Feb-25,6/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
أبحر بلازا,,ابحر الشمالية,جدة,1-Apr-25,16-Feb-25,14-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة محترفو البحر العربية السعودية المحدودة - نادي جدة لليخوت,,الشاطئ,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة أبناء عبدالله الخريف,,الفيصلية,جدة,21-Jan-25,9/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة اسنى للتقنيات المتطورة المحدودة,,الخمرة,جدة,1-Jan-25,4-Jan-24,12-Feb-24,22-May-24,9/8/2024,5/27/2024,4/1/2024,,,,,,,,,,,,,,,,,,,,,,,
مصنع وصل الخير للمنتجات المعدنية,,الصناعية الثالثة,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الاحسن للتجارة,,المنتزهات,جدة,20-Jan-24,20-Feb-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
قرطاسية ومكتبة صخر,,الفيصلية,جدة,12-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محطة بترولكس,,طريق المدينة,جدة,8-Jan-25,12-Jan-25,19-May-25,6-Jul-25,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بوليمرز,,لصناعية الثالثة,جدة,13-Jan-25,1-Sep-24,9/15/2024,9/15/2024,9/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مصنع الانهار -نستلة,,الصناعية 2,جدة,9-Jan-25,17-Mar-25,3-Jun-25,22-May-25,2/9/2025,4/16/2025,,,,,,,,,,,,,,,,,,,,,,,,
شركة بترا السعودية للصناعات الهندسية,,مدينة الملك عبدالله,رابغ,12-Feb-24,8/1/2024,3/31/2024,3/3/2024,11/1/2024,6/18/2025,,,,,,,,,,,,,,,,,,,,,,,,
ورثة احمد محمد شمسان ( مستودعات الخمرة),,الخمرة,جدة,20-Feb-25,13-Feb-24,8/1/2024,6/1/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,
إدارة اوقاف احمد محمد شمسان (حارة الشام),,البلد,جدة,10-Feb-25,8/1/2024,5/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
إدارة اوقاف احمد محمد شمسان ( 9 عمائر ومحلات),,باب شريف,جدة,6-Aug-24,8/1/2024,5/19/2024,2/20/2025,3/20/2025,6/25/2025,,,,,,,,,,,,,,,,,,,,,,,,
شمسان بلازا,,باب شريف,جدة,20-Feb-25,8/5/2024,2/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
مؤسسة بشرة منتعشة للتجارة - جيلا,,البساتين مول,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مدرسة براعم الوطن,,الصفا,جدة,19-Apr-25,26-Feb-24,28-Dec-24,18-May-25,7-Aug-24,7-Oct-24,1-Aug-24,1-Jun-24,1-Jun-24,4/1/2024,2/25/2025,3-Apr-25,6/29/2025,,,,,,,,,,,,,,,,,
شركة نسما العالمية لتقنيات المياه والطاقة,,طريق الملك عبدالعزيز,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سما الدرعية,,السلامة,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة كنز المستقبل,,الياسمين مول,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
