معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2025,09:00,24-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-01-2025,09:00,01-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,13-09-2024,09:00,13-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,02-06-2024,09:00,02-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,28-04-2025,09:00,28-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-06-2025,09:00,03-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,09-02-2025,09:00,09-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,26-03-2025,09:00,26-03-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,26-06-2025,09:00,26-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,16-01-2025,09:00,16-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-05-2025,09:00,19-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
