معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,مدة الزيارة (دقائق),الفريق المختص,الفني المختص,صيانة الطفايات,صيانة نظام الإنذار,صيانة نظام الإطفاء,نظام الغاز,نظام الفوم,النتيجة العامة,المشاكل المكتشفة,التوصيات,تاريخ الزيارة القادمة,ملاحظات,تم الإنشاء بواسطة
0045-JED-001-0001,0045-001,0045,regular,completed,24-Feb-25,09:00,24-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,01-Jan-25,09:00,01-Jan-25,11:30,150,,,,,,,,passed,,,,,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,13-Sep-24,09:00,13-Sep-24,11:30,150,,,,,,,,passed,,,,,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,02-Jun-24,09:00,02-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,03-Mar-24,09:00,03-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0045-JED-001-0001,0045-001,0045,regular,completed,28-Apr-25,09:00,28-Apr-25,11:30,150,,,,,,,,passed,,,,,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,03-Jun-25,09:00,03-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,09-Feb-25,09:00,09-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,26-Mar-25,09:00,26-Mar-25,11:30,150,,,,,,,,passed,,,,,system-import
0049-JED-001-0001,0049-001,0049,regular,completed,26-Jun-25,09:00,26-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
0056-JED-001-0001,0056-001,0056,regular,completed,16-Jan-25,09:00,16-Jan-25,11:30,150,,,,,,,,passed,,,,,system-import
0056-JED-001-0001,0056-001,0056,regular,completed,03-Mar-24,09:00,03-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0056-JED-001-0001,0056-001,0056,regular,completed,19-May-25,09:00,19-May-25,11:30,150,,,,,,,,passed,,,,,system-import
0027-JED-001-0001,0027-001,0027,regular,completed,12-Mar-25,09:00,12-Mar-25,11:30,150,,,,,,,,passed,,,,,system-import
0027-JED-001-0001,0027-001,0027,regular,completed,10-Apr-25,09:00,10-Apr-25,11:30,150,,,,,,,,passed,,,,,system-import
0019-JED-001-0001,0019-001,0019,regular,completed,24-Feb-25,09:00,24-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0019-JED-001-0001,0019-001,0019,regular,completed,01-Jun-24,09:00,01-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0020-JED-001-0001,0020-001,0020,regular,completed,24-Feb-25,09:00,24-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0020-JED-001-0001,0020-001,0020,regular,completed,01-Jun-24,09:00,01-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-Apr-25,09:00,01-Apr-25,11:30,150,,,,,,,,passed,,,,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,16-Feb-25,09:00,16-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,14-Jan-25,09:00,14-Jan-25,11:30,150,,,,,,,,passed,,,,,system-import
0009-JED-001-0001,0009-001,0009,regular,completed,21-Jan-25,09:00,21-Jan-25,11:30,150,,,,,,,,passed,,,,,system-import
0009-JED-001-0001,0009-001,0009,regular,completed,01-Sep-24,09:00,01-Sep-24,11:30,150,,,,,,,,passed,,,,,system-import
